N,P,K,temperature,humidity,ph,rainfall,label
27.3,69.3,15.9,22.94,48.77,6.07,113.92,pigeonpeas
40.0,77.0,21.5,27.84,47.88,5.29,147.13,pigeonpeas
22.6,59.7,20.8,26.76,30.92,5.35,133.63,pigeonpeas
38.9,71.0,16.7,29.81,34.53,6.81,132.04,pigeonpeas
19.1,75.8,16.8,20.86,44.16,6.78,103.22,pigeonpeas
0.0,64.7,21.4,33.2,45.37,5.69,176.73,pigeonpeas
1.3,65.1,20.5,29.63,44.9,6.03,90.0,pigeonpeas
13.4,70.3,17.5,27.78,54.47,5.74,149.69,pigeonpeas
10.4,66.2,21.5,28.25,44.13,6.17,164.65,pigeonpeas
0.0,74.7,19.2,29.52,61.97,4.97,125.49,pigeonpeas
17.1,62.6,24.3,23.43,44.44,6.15,111.94,pigeonpeas
16.0,69.5,19.2,27.06,44.71,4.86,153.84,pigeonpeas
37.5,67.6,20.6,30.79,37.31,7.28,150.56,pigeonpeas
36.3,62.9,24.5,31.18,55.53,6.18,138.17,pigeonpeas
32.0,68.4,15.1,22.19,48.14,6.23,143.44,pigeonpeas
32.2,55.3,20.4,18.86,57.6,5.93,156.54,pigeonpeas
11.4,75.5,22.6,30.27,48.7,6.43,125.56,pigeonpeas
28.6,77.8,22.7,24.03,53.61,5.03,160.74,pigeonpeas
24.5,55.8,17.1,26.16,46.99,5.09,155.7,pigeonpeas
22.5,66.3,18.1,32.48,66.55,5.64,128.17,pigeonpeas
24.9,65.3,19.7,31.01,30.91,6.99,147.0,pigeonpeas
15.9,66.9,19.9,19.28,64.95,6.03,157.18,pigeonpeas
29.5,61.1,21.2,26.23,58.47,4.5,142.27,pigeonpeas
14.0,70.2,21.2,24.14,42.88,5.92,120.34,pigeonpeas
28.4,65.2,15.0,25.72,39.61,4.78,110.97,pigeonpeas
21.1,75.8,20.8,24.62,54.56,5.66,125.9,pigeonpeas
8.5,56.6,19.0,28.25,49.03,5.69,118.99,pigeonpeas
26.1,59.3,21.9,22.74,42.48,4.9,131.21,pigeonpeas
29.8,70.7,22.4,29.98,38.96,5.75,123.54,pigeonpeas
33.3,60.0,22.2,31.74,68.3,5.69,164.59,pigeonpeas
40.0,63.6,16.2,18.57,57.13,4.59,134.76,pigeonpeas
24.4,68.7,21.1,28.56,62.79,5.29,126.38,pigeonpeas
12.3,72.7,22.3,29.64,61.83,5.12,190.85,pigeonpeas
35.2,72.1,24.5,19.63,44.76,5.45,164.84,pigeonpeas
9.5,72.2,23.4,30.8,52.84,5.26,121.71,pigeonpeas
32.5,72.4,19.9,25.51,30.0,5.2,197.56,pigeonpeas
7.2,68.7,22.5,21.54,51.85,6.7,145.34,pigeonpeas
40.0,57.1,22.6,26.68,57.72,6.33,124.84,pigeonpeas
22.3,55.9,21.5,28.92,56.39,6.79,155.11,pigeonpeas
21.5,62.0,18.2,33.14,64.36,5.82,146.27,pigeonpeas
11.0,74.8,21.7,36.72,41.22,5.72,151.36,pigeonpeas
26.5,66.2,17.8,31.69,57.21,5.31,182.27,pigeonpeas
31.7,68.3,20.2,30.13,41.38,6.02,90.0,pigeonpeas
28.8,57.7,23.8,25.93,47.88,5.53,137.08,pigeonpeas
34.2,55.0,23.2,29.11,37.93,5.19,191.1,pigeonpeas
10.5,60.3,22.8,29.11,40.62,6.16,116.79,pigeonpeas
31.0,74.1,21.3,29.22,67.61,6.0,112.5,pigeonpeas
24.5,80.0,17.5,25.78,54.16,5.96,117.99,pigeonpeas
31.2,80.0,20.5,23.21,34.51,6.19,175.36,pigeonpeas
24.8,67.5,18.5,22.31,58.35,6.69,102.49,pigeonpeas
35.9,71.1,23.5,21.12,36.34,5.89,158.83,pigeonpeas
38.0,71.9,19.4,22.62,62.3,5.28,189.78,pigeonpeas
17.2,77.4,21.7,26.85,44.81,5.74,156.78,pigeonpeas
20.8,63.8,19.6,27.87,30.0,6.34,118.06,pigeonpeas
8.5,57.0,15.5,21.06,42.91,7.46,130.54,pigeonpeas
21.8,70.0,20.3,27.13,38.05,7.09,194.7,pigeonpeas
3.2,61.1,19.3,22.92,55.06,5.45,200.0,pigeonpeas
31.9,68.8,22.6,32.75,44.36,5.39,147.15,pigeonpeas
28.6,68.4,16.1,23.69,49.26,5.94,199.24,pigeonpeas
6.1,70.7,23.7,37.0,45.96,6.37,160.67,pigeonpeas
22.0,66.9,21.1,18.0,56.82,6.09,138.88,pigeonpeas
40.0,63.3,19.0,36.96,41.68,5.59,140.96,pigeonpeas
28.4,68.8,16.8,24.97,43.93,5.94,156.71,pigeonpeas
24.2,56.4,22.7,28.7,63.85,6.33,175.29,pigeonpeas
24.7,75.9,21.3,27.03,70.0,6.67,160.78,pigeonpeas
7.2,59.4,20.7,28.19,43.86,6.11,188.69,pigeonpeas
27.0,60.4,19.7,23.68,46.12,5.69,131.86,pigeonpeas
7.4,66.7,18.6,18.0,70.0,6.82,134.65,pigeonpeas
20.2,60.2,24.2,36.51,51.57,6.77,149.82,pigeonpeas
6.6,64.9,20.3,25.34,47.81,5.93,142.78,pigeonpeas
20.5,60.9,18.2,21.4,59.78,4.5,176.72,pigeonpeas
33.9,65.6,15.0,25.78,49.36,5.24,130.83,pigeonpeas
35.3,71.7,17.7,19.91,46.73,5.84,158.65,pigeonpeas
14.6,70.7,24.8,31.37,49.52,5.86,135.19,pigeonpeas
31.8,43.6,20.1,27.08,49.36,4.52,56.13,mothbeans
19.4,50.6,18.7,28.83,47.02,9.53,32.84,mothbeans
24.3,50.5,18.0,27.64,60.5,3.5,58.16,mothbeans
0.0,41.5,24.1,26.13,45.16,6.43,75.0,mothbeans
1.7,40.9,23.7,29.79,51.85,4.74,75.0,mothbeans
35.9,51.7,18.0,26.93,51.5,7.29,68.82,mothbeans
28.8,40.8,23.4,27.47,56.79,9.13,39.99,mothbeans
19.6,44.2,16.1,27.52,65.0,3.76,52.14,mothbeans
26.4,48.3,19.7,25.05,53.95,5.52,30.0,mothbeans
31.9,53.5,20.1,27.34,59.21,7.11,62.67,mothbeans
17.0,55.7,20.8,27.29,44.56,7.22,43.14,mothbeans
13.6,42.4,17.3,30.0,60.82,9.87,38.74,mothbeans
20.7,39.4,18.3,25.62,60.25,6.11,64.52,mothbeans
26.0,60.0,16.3,28.89,59.67,5.17,63.83,mothbeans
23.4,46.1,17.9,25.92,65.0,6.75,61.3,mothbeans
12.1,42.6,22.7,24.98,49.9,6.81,53.75,mothbeans
18.2,50.0,21.7,28.1,46.34,6.29,65.94,mothbeans
28.9,38.9,20.9,24.03,52.79,9.83,41.84,mothbeans
11.7,52.3,16.1,26.05,56.23,5.72,49.85,mothbeans
27.4,50.1,20.7,26.49,54.81,6.55,57.65,mothbeans
15.0,46.4,17.5,26.95,47.43,4.94,55.41,mothbeans
22.1,52.4,18.9,27.61,55.94,7.47,43.21,mothbeans
21.5,49.8,20.0,24.0,53.5,10.0,48.45,mothbeans
12.7,49.8,20.8,28.79,44.64,7.94,59.14,mothbeans
18.6,49.6,22.6,28.31,45.36,8.08,51.77,mothbeans
20.7,48.0,19.6,28.79,51.98,4.93,48.07,mothbeans
21.8,55.2,21.5,25.72,65.0,7.18,66.85,mothbeans
18.5,50.8,22.1,28.83,59.11,8.17,48.96,mothbeans
14.3,49.6,22.3,26.67,59.16,9.11,42.19,mothbeans
11.6,46.6,20.8,26.21,60.95,7.44,52.94,mothbeans
5.6,39.3,20.7,24.0,58.83,6.49,75.0,mothbeans
40.0,46.4,19.7,28.49,63.14,4.09,32.4,mothbeans
13.8,51.1,21.2,28.6,45.0,3.5,62.15,mothbeans
11.7,35.0,20.4,28.19,51.74,6.01,50.71,mothbeans
16.3,39.1,18.2,27.78,54.51,7.02,41.3,mothbeans
18.2,35.0,20.4,29.14,43.29,5.8,56.2,mothbeans
32.5,44.7,18.3,24.05,53.15,10.0,55.62,mothbeans
19.8,49.5,20.0,25.78,57.65,7.12,52.7,mothbeans
10.2,55.6,21.7,26.17,58.76,5.94,43.7,mothbeans
12.4,36.4,21.2,24.25,44.82,3.5,51.53,mothbeans
18.5,45.5,17.4,25.24,55.4,5.86,56.06,mothbeans
11.1,48.6,23.3,27.88,49.92,7.17,49.79,mothbeans
20.1,45.5,19.6,27.32,46.29,5.1,36.88,mothbeans
4.0,39.9,20.4,25.66,55.71,6.81,30.35,mothbeans
26.5,52.6,17.5,27.63,47.15,6.91,38.27,mothbeans
2.1,45.1,19.7,26.4,45.1,6.1,55.53,mothbeans
19.6,48.6,18.3,28.76,45.15,7.54,65.8,mothbeans
24.8,46.2,18.7,28.55,43.61,5.17,48.03,mothbeans
32.4,49.9,17.6,26.53,48.66,5.6,63.51,mothbeans
6.3,57.6,22.1,28.64,49.61,6.51,36.38,mothbeans
14.8,50.6,23.2,25.34,50.22,6.5,36.8,mothbeans
25.9,43.0,19.5,26.32,47.57,6.74,50.07,mothbeans
16.3,42.9,20.8,29.48,53.37,8.37,36.86,mothbeans
21.6,40.6,16.3,25.89,59.95,8.29,55.23,mothbeans
4.7,46.3,20.8,27.26,40.98,5.3,51.78,mothbeans
25.4,35.0,19.6,27.21,57.81,7.88,59.05,mothbeans
12.0,35.6,19.0,28.5,61.21,7.9,57.33,mothbeans
23.8,44.0,19.7,29.5,46.61,9.37,48.88,mothbeans
33.3,38.7,21.5,25.89,43.65,7.11,63.86,mothbeans
11.6,38.1,19.8,26.87,55.93,8.29,51.83,mothbeans
38.6,48.9,19.1,24.58,50.86,6.2,63.3,mothbeans
24.6,40.1,20.4,28.01,62.05,8.19,61.06,mothbeans
20.6,49.9,23.1,25.0,50.32,5.49,56.77,mothbeans
32.3,43.8,15.0,26.38,58.21,7.62,57.32,mothbeans
17.2,39.5,21.3,25.75,65.0,7.68,45.97,mothbeans
13.9,46.9,19.4,28.68,53.67,5.56,73.77,mothbeans
20.5,52.3,18.5,27.54,54.44,3.68,75.0,mothbeans
32.9,45.0,17.2,27.52,53.04,7.33,54.66,mothbeans
25.1,56.5,21.4,25.43,61.02,9.42,75.0,mothbeans
8.8,49.0,15.0,27.83,49.07,9.88,43.79,mothbeans
3.1,44.6,15.1,28.13,40.0,6.8,30.0,mothbeans
16.8,57.8,20.9,25.7,52.3,6.78,57.82,mothbeans
6.3,51.2,15.0,26.06,49.45,7.78,52.75,mothbeans
5.9,41.3,20.5,26.88,48.88,5.97,60.33,mothbeans
14.8,46.9,25.0,24.86,40.93,8.02,44.87,mothbeans
16.8,42.6,19.4,29.4,57.51,8.15,36.57,mothbeans
8.5,35.0,18.0,28.44,55.73,6.39,52.25,mothbeans
13.1,48.8,21.9,24.58,54.37,8.27,47.83,mothbeans
27.0,60.0,19.7,27.59,47.89,7.04,57.68,mothbeans
21.9,41.1,20.5,29.19,55.3,8.31,49.83,mothbeans
27.5,49.2,17.6,27.48,46.3,5.72,54.63,mothbeans
23.0,40.1,22.6,27.86,48.1,4.25,50.87,mothbeans
15.5,48.2,19.1,24.0,50.07,6.25,59.63,mothbeans
13.0,58.0,15.2,28.97,51.1,8.15,53.4,mothbeans
31.4,45.1,17.3,29.13,51.79,7.11,66.39,mothbeans
9.7,51.2,18.5,26.8,52.95,4.31,43.74,mothbeans
33.5,53.0,19.8,27.36,50.66,8.95,50.25,mothbeans
22.3,54.7,18.1,29.34,42.93,9.4,48.31,mothbeans
17.6,35.7,18.9,25.44,48.7,6.53,63.28,mothbeans
22.1,49.4,17.3,25.68,63.74,5.56,71.13,mothbeans
17.6,47.5,22.7,28.91,51.81,6.12,51.87,mothbeans
23.4,53.1,20.0,27.93,62.74,7.37,56.01,mothbeans
4.8,35.0,21.0,26.86,49.28,7.15,51.82,mothbeans
31.3,48.0,18.1,28.49,51.14,7.61,47.13,mothbeans
13.5,48.0,20.0,27.72,50.82,3.77,47.63,mothbeans
27.9,45.6,19.4,28.48,48.05,4.24,50.69,mothbeans
15.2,41.5,19.6,27.74,52.44,7.25,72.9,mothbeans
16.6,49.2,18.7,25.73,48.84,5.97,56.54,mothbeans
40.0,43.0,19.0,26.91,54.97,7.18,66.95,mothbeans
0.0,35.0,18.8,28.65,42.71,3.5,58.93,mothbeans
22.4,40.7,17.5,29.32,85.28,6.54,50.96,mungbean
0.0,42.1,17.2,30.92,83.65,6.9,36.84,mungbean
20.5,51.0,24.6,30.42,85.81,6.25,36.0,mungbean
28.4,47.5,22.9,28.41,86.3,7.17,50.52,mungbean
22.8,47.6,16.1,34.55,83.47,6.83,38.62,mungbean
8.2,56.5,19.1,34.77,84.8,6.24,53.35,mungbean
14.1,51.9,20.1,28.03,85.41,7.2,50.96,mungbean
19.4,54.2,20.5,31.97,82.27,6.76,54.21,mungbean
11.6,56.4,19.8,29.5,87.49,6.63,52.56,mungbean
17.1,47.1,21.2,32.15,80.01,6.42,53.58,mungbean
18.7,44.2,16.6,29.07,80.0,6.67,44.41,mungbean
10.3,47.1,20.9,36.0,81.22,6.99,53.84,mungbean
12.2,48.8,18.9,31.92,88.77,6.85,51.05,mungbean
15.7,38.2,19.5,34.21,81.18,6.44,48.76,mungbean
10.2,42.5,18.9,28.43,82.56,6.88,40.16,mungbean
4.0,43.6,21.8,31.06,83.84,6.71,37.53,mungbean
24.9,49.9,19.0,33.76,82.18,6.98,48.93,mungbean
16.6,47.4,19.7,34.25,82.31,6.51,54.22,mungbean
14.0,53.1,24.2,30.6,86.7,6.41,52.53,mungbean
22.0,50.5,18.4,27.76,86.26,6.2,46.1,mungbean
29.4,48.7,24.9,33.81,83.37,6.71,47.72,mungbean
4.2,41.6,18.6,27.0,85.12,6.64,37.96,mungbean
24.0,52.0,20.6,30.77,86.48,6.87,49.84,mungbean
11.8,49.2,23.0,30.16,90.0,6.57,48.19,mungbean
13.3,48.9,15.6,30.27,82.27,6.73,53.97,mungbean
26.5,35.0,25.0,32.16,83.06,6.74,49.06,mungbean
13.3,48.7,18.5,30.59,83.28,6.34,48.88,mungbean
25.9,50.7,22.0,32.23,83.67,6.91,39.85,mungbean
11.0,41.5,22.7,33.62,86.22,6.97,42.72,mungbean
23.5,46.7,22.1,31.24,84.04,6.84,53.26,mungbean
13.3,47.1,17.4,27.0,85.5,6.85,49.57,mungbean
0.5,45.3,15.0,34.58,82.28,7.01,53.68,mungbean
11.0,40.4,20.9,29.6,85.26,6.58,37.31,mungbean
0.0,48.9,18.6,30.26,86.74,6.99,46.36,mungbean
16.6,50.6,16.6,32.0,86.38,6.87,36.38,mungbean
12.4,42.0,20.2,32.58,88.74,6.58,45.01,mungbean
31.5,49.4,23.2,32.15,82.11,6.37,38.69,mungbean
26.6,54.9,24.6,33.4,87.91,6.55,41.06,mungbean
28.5,50.1,20.3,32.37,85.81,7.02,55.77,mungbean
25.4,52.8,21.3,30.46,86.89,6.35,54.32,mungbean
8.1,49.3,17.9,32.75,84.92,6.3,50.52,mungbean
14.2,53.0,20.0,32.39,82.61,6.55,45.25,mungbean
28.6,58.0,18.0,33.92,80.0,6.4,42.25,mungbean
6.5,37.6,21.0,31.02,85.95,6.87,49.59,mungbean
26.6,47.1,17.0,33.88,83.53,6.47,46.93,mungbean
10.9,44.9,20.9,32.28,82.76,6.58,54.45,mungbean
25.0,60.0,23.0,34.07,81.53,6.89,47.68,mungbean
14.5,48.6,22.4,32.63,82.8,6.89,44.17,mungbean
22.2,45.6,19.5,33.22,82.4,7.19,37.07,mungbean
14.0,49.8,21.5,31.27,84.86,6.8,46.61,mungbean
33.9,52.7,22.2,29.33,84.8,6.62,41.97,mungbean
23.6,44.1,21.6,29.09,89.3,6.48,49.32,mungbean
27.9,43.9,22.1,28.73,88.63,6.7,44.42,mungbean
17.0,52.6,18.5,29.81,84.45,6.41,58.92,mungbean
14.3,52.7,20.5,29.28,84.99,6.9,46.87,mungbean
31.9,53.9,22.3,30.47,82.3,6.55,49.18,mungbean
25.5,35.0,20.0,31.86,84.31,7.02,50.53,mungbean
33.1,46.2,22.3,35.18,88.28,6.43,46.48,mungbean
16.5,50.6,21.7,29.61,85.17,6.2,56.65,mungbean
14.9,47.8,19.2,34.08,80.0,6.7,47.37,mungbean
15.5,58.3,17.8,33.24,85.89,7.02,44.0,mungbean
12.7,54.4,21.1,28.02,83.65,6.8,53.03,mungbean
13.2,35.0,21.3,28.75,80.0,6.2,52.88,mungbean
21.3,46.1,23.5,32.93,89.04,6.35,47.79,mungbean
3.8,46.1,19.4,32.91,85.11,6.86,52.22,mungbean
40.0,45.5,17.6,32.05,82.99,7.07,46.3,mungbean
14.3,44.6,21.8,31.15,83.4,7.12,42.86,mungbean
20.4,51.6,15.9,32.58,82.36,6.91,42.22,mungbean
26.9,54.4,22.2,32.07,84.42,6.56,56.83,mungbean
13.0,41.0,21.7,29.71,82.62,6.34,45.1,mungbean
19.2,49.0,22.4,32.69,84.52,6.65,51.06,mungbean
32.7,48.3,18.8,29.27,81.39,6.87,51.47,mungbean
25.8,46.7,23.5,30.41,87.39,6.69,44.35,mungbean
25.9,50.1,20.9,31.68,84.91,7.2,55.11,mungbean
27.2,48.2,22.5,32.67,85.07,6.62,47.51,mungbean
0.0,48.8,18.8,35.08,85.05,6.4,47.7,mungbean
9.5,50.5,20.7,33.66,83.02,6.71,39.81,mungbean
27.0,50.7,21.2,31.5,86.04,7.1,46.29,mungbean
21.4,40.7,17.8,31.72,87.76,6.64,46.58,mungbean
15.9,44.2,20.7,28.13,88.2,6.53,52.33,mungbean
7.3,51.7,21.7,32.36,82.51,6.76,40.9,mungbean
17.5,53.9,22.0,31.53,82.56,6.86,48.12,mungbean
0.0,52.4,19.9,34.21,82.26,6.2,49.67,mungbean
22.9,36.9,17.6,36.0,84.24,6.88,44.1,mungbean
0.0,46.4,19.3,30.6,84.71,6.77,47.1,mungbean
7.4,50.5,15.1,27.0,86.85,6.83,47.66,mungbean
6.0,43.1,19.3,27.91,83.15,6.86,56.56,mungbean
15.8,52.2,15.2,32.98,82.99,6.78,46.51,mungbean
33.2,42.0,21.6,30.87,84.6,6.65,42.93,mungbean
19.9,47.1,20.6,31.69,86.99,6.93,41.7,mungbean
28.7,40.1,21.5,32.89,80.22,6.72,45.19,mungbean
12.4,55.9,18.4,29.69,85.19,6.87,47.15,mungbean
31.7,50.8,15.0,30.31,83.6,6.82,36.0,mungbean
40.0,50.8,20.4,34.16,90.0,6.92,53.69,mungbean
21.3,46.6,18.8,29.64,83.28,6.36,47.54,mungbean
3.2,48.7,19.9,31.83,83.69,7.2,56.16,mungbean
7.6,49.0,18.5,29.22,81.65,6.81,43.91,mungbean
29.7,53.7,23.4,29.58,86.19,6.86,45.15,mungbean
12.3,57.6,20.6,32.93,82.94,6.4,44.58,mungbean
18.8,40.8,20.0,27.7,82.2,6.87,51.62,mungbean
36.1,61.1,17.4,29.07,66.61,7.45,65.64,blackgram
28.5,69.2,17.9,28.7,68.31,7.42,68.09,blackgram
27.3,68.8,22.7,29.06,68.38,7.57,73.74,blackgram
43.1,71.2,23.5,31.12,63.75,7.0,68.39,blackgram
27.1,66.6,22.7,25.0,68.84,7.51,65.78,blackgram
45.4,67.5,23.1,32.46,61.5,7.34,66.73,blackgram
40.8,62.9,24.4,32.6,63.15,6.72,66.05,blackgram
44.3,69.0,23.1,31.97,67.42,7.26,62.29,blackgram
38.0,74.1,19.9,31.26,64.2,6.82,67.04,blackgram
43.1,63.4,19.4,27.65,67.8,7.05,72.95,blackgram
55.3,67.0,17.5,25.0,61.32,6.7,72.67,blackgram
41.2,69.9,15.0,27.01,67.22,7.24,66.95,blackgram
45.6,77.7,19.4,30.17,65.48,7.8,60.0,blackgram
46.8,66.8,21.4,28.36,64.88,7.38,75.0,blackgram
48.1,62.2,18.9,28.87,60.51,7.04,70.25,blackgram
27.3,74.1,21.2,28.16,64.65,7.67,70.25,blackgram
40.1,66.0,20.2,28.72,60.0,7.8,68.08,blackgram
44.0,67.1,18.2,29.54,61.0,7.8,62.87,blackgram
29.7,64.7,23.2,30.04,61.91,7.56,70.24,blackgram
45.4,72.0,25.0,35.0,63.28,7.68,68.94,blackgram
45.0,56.9,19.6,27.97,67.07,7.5,60.0,blackgram
39.8,74.5,19.5,31.82,65.88,7.26,66.48,blackgram
27.8,60.5,21.8,30.05,64.65,7.01,66.36,blackgram
50.5,65.4,16.6,31.86,64.49,7.16,73.53,blackgram
39.8,69.3,17.1,29.45,66.52,6.64,68.25,blackgram
41.0,67.8,22.6,30.84,68.7,6.83,68.01,blackgram
40.8,60.8,22.4,35.0,64.96,7.31,67.82,blackgram
32.9,56.1,18.2,26.52,69.26,7.11,66.2,blackgram
48.9,60.5,18.1,30.17,67.57,7.31,68.43,blackgram
40.8,70.0,20.5,27.43,65.12,6.8,67.8,blackgram
35.2,80.0,19.9,26.49,64.66,7.32,73.78,blackgram
34.1,57.6,22.0,26.55,63.91,7.07,67.24,blackgram
46.9,63.2,19.3,29.96,65.37,7.18,69.14,blackgram
48.4,70.0,21.1,26.04,65.13,7.31,70.23,blackgram
33.1,63.4,18.6,31.34,67.58,7.02,70.9,blackgram
41.2,66.7,19.5,31.87,65.81,7.8,64.3,blackgram
45.2,64.2,17.8,29.97,65.34,7.8,66.81,blackgram
28.7,69.2,15.0,29.77,65.04,7.41,71.15,blackgram
35.0,66.6,18.1,27.18,65.77,6.74,65.95,blackgram
30.0,70.9,24.5,26.75,60.37,7.11,67.56,blackgram
42.2,64.7,19.5,30.92,67.6,6.51,66.12,blackgram
42.1,61.8,24.3,28.41,64.9,7.33,65.28,blackgram
21.5,64.8,22.6,29.16,62.88,7.45,66.26,blackgram
34.9,68.4,21.9,35.0,67.07,7.53,65.6,blackgram
29.7,67.9,20.3,27.3,64.56,7.28,68.85,blackgram
45.0,69.3,18.7,28.72,62.0,7.73,67.55,blackgram
37.8,61.7,25.0,27.32,63.93,7.29,69.75,blackgram
49.6,78.8,21.3,27.36,64.36,7.25,75.0,blackgram
26.0,75.0,20.4,32.09,64.75,6.88,70.32,blackgram
46.5,73.6,20.0,28.5,61.1,7.42,69.09,blackgram
30.3,64.1,18.8,26.29,62.96,6.78,65.95,blackgram
32.6,57.3,25.0,33.13,63.05,7.24,69.07,blackgram
51.9,62.4,22.7,28.63,61.66,7.39,72.34,blackgram
60.0,60.0,21.7,28.98,66.96,6.67,62.76,blackgram
32.2,68.0,18.4,31.65,67.57,7.34,73.57,blackgram
44.2,59.9,23.4,28.49,67.28,7.66,69.21,blackgram
25.0,61.8,23.3,29.58,65.2,7.4,70.11,blackgram
42.8,66.2,19.2,32.14,66.38,7.07,71.56,blackgram
38.7,62.2,18.1,27.55,64.32,7.55,64.48,blackgram
41.9,63.4,19.3,26.22,64.45,7.09,69.53,blackgram
42.2,60.0,22.7,30.53,65.5,7.15,65.56,blackgram
42.2,70.5,15.6,28.65,64.36,7.23,71.97,blackgram
32.3,64.4,18.7,28.0,64.13,7.4,63.55,blackgram
44.3,56.9,18.6,29.18,69.19,7.06,60.0,blackgram
20.0,67.7,21.5,30.94,65.42,7.53,65.48,blackgram
48.9,57.3,17.7,25.48,64.31,7.13,67.93,blackgram
40.6,61.7,19.5,26.26,68.41,7.05,65.67,blackgram
55.9,59.7,17.2,27.26,64.83,7.29,70.27,blackgram
60.0,55.0,21.5,28.61,63.53,6.95,64.09,blackgram
56.8,72.8,20.1,33.38,61.22,6.72,60.0,blackgram
33.0,68.5,20.3,30.37,61.47,7.41,68.4,blackgram
47.3,55.7,20.8,27.03,64.01,7.32,67.84,blackgram
31.5,67.5,16.2,32.88,64.49,7.51,65.53,blackgram
34.8,62.7,22.2,28.23,66.61,7.03,60.09,blackgram
34.3,60.1,20.1,27.02,67.31,7.12,66.83,blackgram
46.6,73.5,19.9,28.07,60.57,6.93,65.19,blackgram
41.1,65.3,21.7,28.47,64.86,7.53,68.78,blackgram
39.4,63.7,18.4,27.87,63.65,7.4,66.67,blackgram
26.5,78.6,20.8,26.48,63.9,7.19,73.89,blackgram
28.9,73.6,23.5,28.43,64.31,6.81,66.74,blackgram
39.6,71.6,22.7,28.13,60.08,7.14,68.6,blackgram
42.5,65.5,20.3,33.79,65.95,7.03,65.62,blackgram
38.3,77.7,19.5,29.95,63.79,7.51,74.85,blackgram
44.5,68.0,20.1,25.0,66.86,7.19,69.11,blackgram
32.9,65.1,19.0,32.55,64.05,7.8,69.12,blackgram
27.2,66.7,18.4,25.0,69.0,7.38,69.5,blackgram
41.7,58.9,18.8,32.1,62.37,6.5,66.65,blackgram
38.6,68.3,21.8,31.59,65.65,7.54,61.8,blackgram
45.0,71.4,16.9,26.24,63.14,6.93,70.33,blackgram
33.9,62.1,18.5,32.8,65.03,7.09,67.09,blackgram
52.9,62.8,23.3,30.53,64.6,7.8,63.54,blackgram
36.5,59.8,22.4,34.22,69.17,7.55,66.76,blackgram
36.3,57.1,25.0,31.17,63.77,7.58,63.85,blackgram
44.1,66.4,21.6,29.84,61.37,7.17,71.43,blackgram
39.7,72.3,17.4,29.93,63.44,7.39,67.62,blackgram
46.9,74.3,21.7,30.68,62.5,7.15,65.5,blackgram
36.6,65.2,17.6,25.11,63.33,7.21,62.44,blackgram
40.2,79.4,22.6,34.11,65.98,7.53,64.79,blackgram
33.6,55.0,23.0,33.85,63.62,7.07,64.67,blackgram
43.8,74.5,15.6,31.02,64.31,7.19,69.22,blackgram
18.1,66.9,19.5,26.91,66.05,6.46,38.65,lentil
16.2,73.1,20.1,25.98,69.42,6.66,45.47,lentil
14.9,55.0,19.6,23.02,65.98,6.36,43.4,lentil
2.2,61.6,21.2,29.15,64.76,6.48,49.76,lentil
11.9,69.8,18.1,26.59,65.38,6.47,41.09,lentil
27.1,80.0,17.5,22.98,65.58,6.6,42.2,lentil
0.0,76.0,21.9,18.77,63.48,6.79,52.24,lentil
29.4,66.4,20.2,23.61,67.82,6.18,40.97,lentil
30.1,67.2,23.4,21.99,64.86,6.17,45.04,lentil
5.2,64.5,16.4,26.08,66.79,5.97,51.67,lentil
40.0,67.8,18.4,30.0,61.7,6.41,45.9,lentil
33.5,69.7,18.8,21.15,64.15,6.15,45.24,lentil
14.4,58.2,23.1,22.51,61.83,6.36,45.34,lentil
2.5,69.6,17.4,29.13,66.31,6.3,41.27,lentil
19.0,71.3,19.9,23.35,65.15,6.25,43.28,lentil
0.0,73.6,20.7,21.68,69.75,6.42,39.82,lentil
28.6,70.0,21.0,22.72,66.13,6.33,47.78,lentil
1.0,64.8,24.3,21.7,63.49,6.29,38.93,lentil
0.0,66.1,20.3,23.84,64.64,6.41,50.11,lentil
18.1,63.9,19.3,25.74,68.53,6.24,45.49,lentil
23.4,61.3,20.1,19.6,60.58,6.49,43.08,lentil
22.0,67.4,17.6,23.86,61.92,6.75,38.22,lentil
18.0,61.0,21.4,23.01,63.7,6.61,45.15,lentil
25.2,61.4,16.5,24.32,64.2,6.56,44.6,lentil
22.1,57.4,24.7,23.51,66.74,6.19,46.54,lentil
7.0,70.3,19.1,24.09,66.74,6.09,41.58,lentil
24.6,80.0,19.7,25.77,64.73,6.89,36.26,lentil
20.9,57.3,15.0,24.89,65.35,6.33,44.47,lentil
40.0,65.9,21.3,22.05,65.74,6.34,42.95,lentil
38.2,74.9,20.3,18.0,64.1,6.9,43.85,lentil
31.0,76.5,20.5,21.47,60.0,6.57,40.93,lentil
21.8,59.7,19.3,24.1,65.67,6.12,50.98,lentil
14.0,57.0,19.7,24.1,65.4,6.74,43.82,lentil
18.8,60.6,22.1,24.55,63.95,5.92,52.22,lentil
7.7,63.8,20.9,20.41,61.27,5.9,48.6,lentil
14.5,80.0,17.5,21.24,63.59,6.46,42.65,lentil
26.1,61.4,16.5,18.61,60.0,6.27,43.5,lentil
13.7,75.3,23.1,23.0,60.52,6.26,42.0,lentil
13.4,63.1,18.4,22.84,63.41,6.45,46.8,lentil
10.9,75.4,17.5,19.15,65.95,6.2,46.61,lentil
0.0,76.2,21.7,19.5,61.3,6.82,41.31,lentil
